,From,To,Category,ratio,Ratio
0,at,dk,alc-tobacco,1.5256315181219422,1.5256315181219422
1,at,dk,clothing,1.2938687003382885,1.2938687003382885
2,at,dk,education,0.9058948623626496,0.9058948623626496
3,at,dk,food-non-alc,1.1199913794945875,1.1199913794945875
4,at,dk,health,1.0295278516820665,1.0295278516820665
5,at,dk,it-tech,1.0354698724656615,1.0354698724656615
6,at,dk,leisure,1.2782728000152859,1.2782728000152859
7,at,dk,transport,1.1707703784837273,1.1707703784837273
8,at,fr,alc-tobacco,1.5247146077716998,1.5247146077716998
9,at,fr,clothing,1.0348812409112942,1.0348812409112942
10,at,fr,education,0.5647759387506923,0.5647759387506923
11,at,fr,food-non-alc,1.0273619528776745,1.0273619528776745
12,at,fr,health,0.6694192177105474,0.6694192177105474
13,at,fr,it-tech,1.0371533425640886,1.0371533425640886
14,at,fr,leisure,0.9881090575504224,0.9881090575504224
15,at,fr,transport,0.9686612036884268,0.9686612036884268
16,at,de,alc-tobacco,1.0997045444956446,1.0997045444956446
17,at,de,clothing,0.9595841008240426,0.9595841008240426
18,at,de,education,0.7201418188669334,0.7201418188669334
19,at,de,food-non-alc,0.9755983676213779,0.9755983676213779
20,at,de,health,0.757383995362575,0.757383995362575
21,at,de,it-tech,1.073230921238355,1.073230921238355
22,at,de,leisure,0.918676388109927,0.918676388109927
23,at,de,transport,0.9781847513244972,0.9781847513244972
24,at,hu,alc-tobacco,0.7843494042950511,0.7843494042950511
25,at,hu,clothing,0.7451583506030223,0.7451583506030223
26,at,hu,education,0.2521966809798222,0.2521966809798222
27,at,hu,food-non-alc,0.6939483871003049,0.6939483871003049
28,at,hu,health,0.28292414592028176,0.28292414592028176
29,at,hu,it-tech,0.8240338281709221,0.8240338281709221
30,at,hu,leisure,0.4753381333939459,0.4753381333939459
31,at,hu,transport,0.6195912379171898,0.6195912379171898
32,at,es,alc-tobacco,1.0142288451692283,1.0142288451692283
33,at,es,clothing,0.8670276296655356,0.8670276296655356
34,at,es,education,0.5184741340428083,0.5184741340428083
35,at,es,food-non-alc,0.911860892952196,0.911860892952196
36,at,es,health,0.7762028321417727,0.7762028321417727
37,at,es,it-tech,1.057669144631599,1.057669144631599
38,at,es,leisure,0.7904655075715087,0.7904655075715087
39,at,es,transport,0.8478918036994262,0.8478918036994262
40,at,se,alc-tobacco,1.4208694611852675,1.4208694611852675
41,at,se,clothing,1.0811131202572315,1.0811131202572315
